X,Y
-78.14644475,33.9157741
-78.14196496,33.91539284
-78.13753338,33.91470989
-78.13315785,33.91367612
-78.12878233,33.91264236
-78.12440681,33.91160859
-78.12003128,33.91057483
-78.11565576,33.90954106
-78.11128023,33.90850729
-78.10690471,33.90747353
-78.10252919,33.90643976
-78.09815366,33.90540599
-78.09377814,33.90437223
-78.08940261,33.90333846
-78.08502709,33.9023047
-78.08065157,33.90127093
-78.07627604,33.90023716
-78.07190052,33.8992034
-78.067525,33.89816963
-78.06314947,33.89713587
-78.05877395,33.8961021
-78.05439842,33.89506833
-78.0500229,33.89403457
-78.04556277,33.89351637
-78.04108634,33.89309747
-78.03660991,33.89267857
-78.03220068,33.89212728
-78.02921972,33.88876161
-78.02623876,33.88539593
-78.0232578,33.88203026
-78.02027684,33.87866459
-78.0174422,33.87519668
-78.01530691,33.8712401
-78.01317163,33.86728353
-78.00990985,33.86452023
-78.00583702,33.86261605
-78.00176418,33.86071188
-77.99769135,33.8588077
-77.9934142,33.85743996
-77.98910654,33.85615234
-77.98479888,33.85486473
-77.98055227,33.85342564
-77.97655558,33.85136643
-77.97255889,33.84930722
-77.96894119,33.8491595
-77.96603249,33.85258781
-77.96312379,33.85601613
-77.9613103,33.86006486
-77.95986515,33.86432226
-77.95842001,33.86857966
-77.95697486,33.87283705
-77.95552972,33.87709445
-77.95408457,33.88135185
-77.95263943,33.88560925
-77.95119428,33.88986665
-77.94974914,33.89412404
-77.94830399,33.89838144
-77.94685885,33.90263884
-77.9454137,33.90689624
-77.94396856,33.91115364
-77.94252341,33.91541103
-77.94024203,33.91922803
-77.93754898,33.92282821
-77.93485592,33.9264284
-77.93216287,33.93002859
-77.92946982,33.93362878
-77.92677676,33.93722896
-77.92408371,33.94082915
-77.92139066,33.94442934
-77.9186976,33.94802952
-77.91600455,33.95162971
-77.9133115,33.9552299
-77.91085589,33.95895437
-77.9094322,33.96321899
-77.90800851,33.96748361
-77.90658482,33.97174823
-77.90516114,33.97601286
-77.90373745,33.98027748
-77.90231376,33.9845421
-77.90089007,33.98880672
-77.89946638,33.99307134
-77.8980427,33.99733596
-77.89661901,34.00160058
-77.89519532,34.0058652
-77.89377163,34.01012982
-77.89272022,34.01448758
-77.8919681,34.01892021
-77.89121597,34.02335283
-77.89046385,34.02778546
-77.88971172,34.03221809
-77.8889596,34.03665072
-77.88820747,34.04108335
-77.88745534,34.04551597
-77.88670322,34.0499486
-77.88595109,34.05438123
-77.88519897,34.05881386
-77.88444684,34.06324648
-77.88369472,34.06767911
-77.88294259,34.07211174
-77.88219047,34.07654437
-77.88143834,34.080977
-77.88068622,34.08540962
-77.877629,34.08755395
-77.87348234,34.08892832
-77.87007854,34.09186566
-77.86667473,34.09480301
-77.86327092,34.09774035
-77.85996428,34.10076006
-77.85762364,34.10459872
-77.85528299,34.10843737
-77.85294235,34.11227603
-77.85060171,34.11611468
-77.84826107,34.11995334
-77.84592445,34.12379406
-77.84416467,34.12793134
-77.84240489,34.13206862
-77.84064511,34.13620589
-77.83888533,34.14034317
-77.83712555,34.14448045
-77.83536577,34.14861772
-77.83360599,34.152755
-77.83184621,34.15689228
-77.83008644,34.16102955
-77.82832666,34.16516683
-77.82656688,34.16930411
-77.82322343,34.1718474
-77.81899219,34.17251562
-77.8191375,34.17682973
-77.82303139,34.17710532
-77.82750642,34.17667165
-77.83198144,34.17623797
-77.83645646,34.1758043
-77.84093148,34.17537062
-77.84407235,34.1759676
-77.8425227,34.18018808
-77.84097304,34.18440856
-77.83942339,34.18862904
-77.83787374,34.19284952
-77.83632408,34.19707
-77.83477443,34.20129048
-77.83322478,34.20551096
-77.83057763,34.20901095
-77.82732137,34.21211105
-77.8240651,34.21521115
-77.82080884,34.21831125
-77.81755257,34.22141135
-77.81407483,34.22425177
-77.81049973,34.22697803
-77.80692462,34.22970429
-77.80334951,34.23243055
-77.79977441,34.23515682
-77.7961993,34.23788308
-77.7926242,34.24060934
-77.78904909,34.2433356
-77.78547399,34.24606186
-77.78259605,34.2494954
-77.77981861,34.25303089
-77.77704117,34.25656638
-77.77426372,34.26010187
-77.77148628,34.26363737
-77.76870884,34.26717286
-77.7659314,34.27070835
-77.76315396,34.27424384
-77.76037651,34.27777933
-77.75759907,34.28131482
-77.75482163,34.28485031
-77.75204419,34.2883858
-77.74926675,34.29192129
-77.7464893,34.29545678
-77.74371186,34.29899228
-77.74093442,34.30252777
-77.73815698,34.30606326
-77.73537954,34.30959875
-77.73260209,34.31313424
-77.72972227,34.31657753
-77.72649594,34.31970878
-77.72326962,34.32284002
-77.72004329,34.32597127
-77.71681697,34.32910252
-77.71359064,34.33223376
-77.71036432,34.33536501
-77.70713799,34.33849626
-77.70391167,34.3416275
-77.70068534,34.34475875
-77.69745902,34.34789
-77.69423269,34.35102125
-77.69100637,34.35415249
-77.68778004,34.35728374
-77.68455372,34.36041499
-77.68132739,34.36354623
-77.67810107,34.36667748
-77.67487474,34.36980873
-77.67164842,34.37293997
-77.66842209,34.37607122
-77.66474792,34.37865944
-77.66105976,34.38123069
-77.65737159,34.38380194
-77.65368343,34.38637319
-77.64999527,34.38894444
-77.6463071,34.39151569
-77.64261894,34.39408694
-77.64117912,34.39067317
-77.64009611,34.38630958
-77.6390131,34.38194598
-77.63793009,34.37758239
-77.63684708,34.37321879
-77.63576407,34.36885519
-77.63468106,34.3644916
-77.63239386,34.36414783
-77.62909015,34.36719732
-77.62578645,34.37024682
-77.62248274,34.37329631
-77.61917904,34.37634581
-77.61569325,34.37917488
-77.61207485,34.38184341
-77.60845645,34.38451194
-77.60483805,34.38718047
-77.60121965,34.389849
-77.59760124,34.39251753
-77.59398284,34.39518606
-77.59036444,34.39785459
-77.58674604,34.40052312
-77.58312764,34.40319165
-77.57950924,34.40586018
-77.57589083,34.40852871
-77.57227243,34.41119723
-77.56865403,34.41386576
-77.56503563,34.41653429
-77.56141723,34.41920282
-77.55779883,34.42187135
